Year,DutyPercent,DutyGrowth,ForeignerPercent,ForeignBornGrowth,Urban Rate,UrbanRateGrowth,Birth Rate
1889,30.02,-1.43,13.49227427,0.1431897219,34.41,2.005231037,29.2205028
1890,29.59,-13.32,13.51159382,0.1429849081,35.1,1.310541311,29.25947766
1891,25.65,-15.59,13.53091336,0.1427807531,35.56,1.293588301,29.29845252
1892,21.65,10.44,13.5502329,0.1425771804,36.02,1.277068295,29.33742738
1893,23.91,-14.01,13.56955244,0.1423742609,36.48,1.260964912,29.37640224
1894,20.56,-0.58,13.58887199,0.1421717712,36.94,1.245262588,29.4153771
1895,20.44,1.13,13.60819153,0.1419699301,37.4,1.229946524,29.45435196
1896,20.67,5.9,13.62751107,0.1417686612,37.86,1.215002641,29.49332682
1897,21.89,13.16,13.64683061,0.1415680355,38.32,1.200417537,29.53230168
1898,24.77,19.01,13.66615016,0.1413678305,38.78,1.186178442,29.57127654
1899,29.48,-6.31,13.6854697,0.141168264,39.24,1.172273191,29.6102514
1900,27.62,4.67,13.70478924,0.7229744892,39.7,1.763224181,29.64922626
1901,28.91,-3.32,13.80387137,0.7177850861,40.4,1.732673267,29.68820112
1902,27.95,-0.36,13.9029535,0.7126696497,41.1,1.703163017,29.72717598
1903,27.85,-5.6,14.00203563,0.7076265382,41.8,1.674641148,29.76615084
1904,26.29,-9.59,14.10111775,0.7026544403,42.5,1.647058824,29.8051257
1905,23.77,1.89,14.20019988,0.6977516573,43.2,1.62037037,29.84410056
1906,24.22,-3.88,14.29928201,0.6929168187,43.9,1.59453303,29.88307542
1907,23.28,2.58,14.39836414,0.6881485219,44.6,1.569506726,29.92205028
1908,23.88,-3.73,14.49744627,0.6834453334,45.3,1.545253863,29.96102514
1909,22.99,-8.18,14.59652839,0.6788061336,46,1.52173913,30
1910,21.11,-3.88,14.69561052,-1.172892135,46.7,0.9635974304,31
1911,20.29,-8.43,14.52324686,-1.18681223,47.15,0.9544008484,29.9
1912,18.58,-4.79,14.35088319,-1.201066567,47.6,0.9453781513,29.8
1913,17.69,-15.88,14.17851953,-1.215667614,48.05,0.9365244537,29.5
1914,14.88,-16.06,14.00615586,-1.230627959,48.5,0.9278350515,29.9
1915,12.49,-27.3,13.83379219,-1.245961032,48.95,0.9193054137,29.5
1916,9.08,-22.8,13.66142853,-1.26168116,49.4,0.9109311741,29.1
1917,7.01,-17.4,13.48906486,-1.277802885,49.85,0.9027081244,28.5
1918,5.79,7.08,13.3167012,-1.2943421,50.3,0.8946322068,28.2
1919,6.2,2.9,13.14433753,-1.311314926,50.75,0.8866995074,26.1
1920,6.38,79.31,12.97197387,-1.081351546,51.2,0.9765625,27.7
1921,11.44,28.32,12.83170123,-1.093172507,51.7,0.9671179884,28.1
1922,14.68,3.41,12.6914286,-1.105254849,52.2,0.9578544061,26.2
1923,15.18,-1.91,12.55115597,-1.117607257,52.7,0.9487666034,26
1924,14.89,-11.28,12.41088334,-1.130238889,53.2,0.9398496241,26.1
1925,13.21,1.36,12.27061071,-1.14315932,53.7,0.9310986965,25.1
1926,13.39,3.14,12.13033808,-1.156378652,54.2,0.9225092251,24.2
1927,13.81,-3.69,11.99006544,-1.169907126,54.7,0.9140767824,23.5
1928,13.3,1.35,11.84979281,-1.183755972,55.2,0.9057971014,22.2
1929,13.48,10.01,11.70952018,-1.197936618,55.7,0.8976660682,21.2
1930,14.83,19.69,11.56924755,-2.388376502,56.2,0.05338078292,21.3
1931,17.75,10.37,11.29293036,-2.446815673,56.23,0.05335230304,20.2
1932,19.59,1.07,11.01661317,-2.50818628,56.26,0.05332385354,19.5
1933,19.8,-7.02,10.74029599,-2.572714851,56.29,0.05329543436,18.4
1934,18.41,-4.83,10.4639788,-2.640651279,56.32,0.05326704545,19
1935,17.52,-3.88,10.18766161,-2.71227289,56.35,0.05323868678,18.7
1936,16.84,-7.19,9.911344426,-2.787888052,56.38,0.05321035828,18.4
1937,15.63,-1.09,9.635027239,-2.867840237,56.41,0.05318205992,18.7
1938,15.46,-6.79,9.358710051,-2.9525136,56.44,0.05315379164,19.2
1939,14.41,-13.19,9.082392864,-3.042339074,56.47,0.05312555339,18.8
1940,12.51,8.63,8.806075677,-2.350152174,56.5,1.295999292,19.4
